Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Elektryczna,Standard ($$),27 km,2026-02-10,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),10 km,2026-03-10,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),8 km,2026-02-06,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),1 km,2026-01-24,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),26 km,2026-02-06,Warsztaty z układania lasu w słoiku,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),26 km,2026-01-25,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),13 km,2026-02-21,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),25 km,2026-03-07,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),19 km,2026-02-20,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),11 km,2026-02-20,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Premium ($$$),5 km,2026-01-22,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),23 km,2026-02-08,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),15 km,2026-01-19,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),2 km,2026-03-07,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Premium ($$$),10 km,2026-02-05,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),30 km,2026-02-22,Instalacja systemu Windows i sterowników,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),26 km,2026-03-09,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),27 km,2026-01-25,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),9 km,2026-03-09,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Budget ($),9 km,2026-01-20,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),2 km,2026-02-21,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),21 km,2026-03-08,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),10 km,2026-03-04,Montaż domofonu w domu jednorodzinnym,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),7 km,2026-03-03,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Standard ($$),4 km,2026-03-05,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),24 km,2026-01-14,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),8 km,2026-03-03,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),22 km,2026-03-10,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),19 km,2026-01-13,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),24 km,2026-02-15,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),10 km,2026-02-20,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),14 km,2026-03-11,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),28 km,2026-01-16,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),18 km,2026-01-30,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),11 km,2026-02-12,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),24 km,2026-02-18,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),5 km,2026-02-01,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),16 km,2026-01-19,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),9 km,2026-01-16,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),7 km,2026-01-25,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),28 km,2026-01-15,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),9 km,2026-02-14,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),6 km,2026-01-18,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),8 km,2026-02-17,Malowanie salonu 30m2,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),29 km,2026-01-14,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),24 km,2026-01-14,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),11 km,2026-02-14,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),15 km,2026-02-28,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),13 km,2026-02-22,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),12 km,2026-03-09,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),25 km,2026-02-26,Przycinanie żywopłotu,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),27 km,2026-01-11,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),28 km,2026-02-27,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),9 km,2026-03-09,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),4 km,2026-01-18,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),3 km,2026-02-22,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),17 km,2026-01-28,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),27 km,2026-03-07,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),24 km,2026-01-28,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),17 km,2026-02-26,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),23 km,2026-02-03,Grabienie liści,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),14 km,2026-02-21,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),1 km,2026-02-25,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),26 km,2026-02-16,Montaż systemu nawadniania,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),28 km,2026-03-01,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),12 km,2026-02-05,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),25 km,2026-02-25,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),9 km,2026-01-22,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),11 km,2026-01-14,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),3 km,2026-02-06,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),3 km,2026-02-20,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),30 km,2026-02-24,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),22 km,2026-01-31,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),1 km,2026-03-03,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),15 km,2026-03-11,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),27 km,2026-03-10,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Premium ($$$),13 km,2026-03-06,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),5 km,2026-03-06,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),19 km,2026-03-04,Pomiary elektryczne instalacji,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),20 km,2026-01-15,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),26 km,2026-02-12,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Premium ($$$),16 km,2026-02-23,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),6 km,2026-01-27,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),15 km,2026-01-16,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),27 km,2026-01-18,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),24 km,2026-01-26,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),26 km,2026-01-12,Ustawienie zbieżności kół,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),13 km,2026-01-19,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),6 km,2026-02-20,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),14 km,2026-01-11,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),26 km,2026-02-24,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),30 km,2026-01-29,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),26 km,2026-01-13,Wypełnienie światłoutwardzalne,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),16 km,2026-01-17,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),25 km,2026-02-11,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),22 km,2026-02-03,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),2 km,2026-01-26,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),15 km,2026-01-20,Mycie okien w całym domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),4 km,2026-03-03,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Premium ($$$),23 km,2026-02-03,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),21 km,2026-03-01,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),24 km,2026-03-08,Wymiana licznika wody,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),27 km,2026-01-16,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),11 km,2026-02-28,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),28 km,2026-02-06,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),4 km,2026-01-20,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Standard ($$),19 km,2026-01-27,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),3 km,2026-01-15,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),26 km,2026-02-15,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),28 km,2026-01-26,Wymiana licznika wody,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),19 km,2026-01-17,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),8 km,2026-01-27,Przycinanie żywopłotu,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),11 km,2026-03-05,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),8 km,2026-03-04,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),11 km,2026-01-13,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Premium ($$$),15 km,2026-02-27,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),23 km,2026-01-13,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),22 km,2026-01-12,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),18 km,2026-03-07,Kompozycja kwiatowa na recepcję,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),27 km,2026-02-25,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),15 km,2026-01-11,Montaż domofonu w domu jednorodzinnym,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),12 km,2026-02-22,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),12 km,2026-03-08,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),23 km,2026-02-22,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),11 km,2026-01-30,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Ogrody i Tereny Zielone,Standard ($$),23 km,2026-02-24,Przycinanie żywopłotu,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),10 km,2026-01-28,Przycinanie żywopłotu,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),30 km,2026-03-04,Sezonowa wymiana opon,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),10 km,2026-02-14,Wypełnienie światłoutwardzalne,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),2 km,2026-01-29,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),10 km,2026-02-04,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Budget ($),8 km,2026-01-20,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),17 km,2026-03-03,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),28 km,2026-01-14,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),21 km,2026-01-29,Szpachlowanie ubytków w ścianie,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),19 km,2026-03-09,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),23 km,2026-02-10,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),13 km,2026-02-09,Wstawienie implantu zębowego,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),30 km,2026-01-27,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),29 km,2026-03-04,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),24 km,2026-01-12,Koszenie i aeracja trawnika,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),14 km,2026-02-23,Podłączenie pralki,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),10 km,2026-02-10,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Standard ($$),10 km,2026-01-26,Flowerbox na urodziny,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),26 km,2026-01-31,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),8 km,2026-02-19,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),14 km,2026-01-16,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),10 km,2026-01-20,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),23 km,2026-01-23,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),18 km,2026-01-27,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),22 km,2026-01-28,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),27 km,2026-02-10,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),22 km,2026-01-16,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),10 km,2026-01-16,Wypełnienie światłoutwardzalne,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),25 km,2026-01-15,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
